FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) COMMAND RELATIONSHIP QUALIFIER; ; ;CURRENT / CURRENT;1130/034;3;A
2 M;(NU) COMMAND RELATIONSHIP TYPE; ; ;CURRENT / CURRENT;1660/002;1-5;A
