FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
* 1 M;(NU) SECTOR LETTER; ; ;CURRENT / CURRENT;1246/019;1-2;A
* 2 M;(NU) SECTOR ANTI-AIR WARFARE COORDINATOR (SAAWC); ; ;CURRENT / CURRENT;1022/326;1-20;X
* 3 M;(NU) SECTOR LIMIT START; ; ;CURRENT / CURRENT;1043/014;3;N
* 4 M;(NU) SECTOR LIMIT END; ; ;CURRENT / CURRENT;1043/015;3;N
