FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) CLOUD BASE HEIGHT; ; ;CURRENT / CURRENT;1162/001;3;N
2 O;(NU) MEAN REFRACTIVE INDEX; ; ;CURRENT / CURRENT;1689/001;3;N
