FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) CONTROLLING GATEWAY SWITCH IDENTIFIER; ; ;CURRENT / CURRENT;1022/162;1-20;X
2 M;(NU) SUBORDINATE GATEWAY SWITCH IDENTIFIER; ; ;CURRENT / CURRENT;1022/163;1-20;X
