FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) AAW AXIS, DEGREES TRUE; ; ;CURRENT / CURRENT;2256/003;4;AN
2 M;(NU) ANGLE EITHER SIDE OF AXIS; ; ;CURRENT / CURRENT;1043/012;1-3;N
