FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) ICAO BASE CODE;1;LOCATION; ; ;CURRENT / CURRENT;1125/002;4;AN;L
2 M;(NU) NATO AIRBORNE EARLY WARNING AIRCRAFT;10;ACFT TYPE; ; ;CURRENT / CURRENT;1015/014;3-6;AN;L
3 M;(NU) NUMBER OF CREWS ASSIGNED;20;ASSGD; ; ;CURRENT / CURRENT;1044/207;1-2;N;R
4 M;(NU) NUMBER OF CREWS COMBAT READY;26;COMBAT RDY; ; ;CURRENT / CURRENT;1044/208;1-2;N;R
5 M;(NU) NUMBER OF CREWS AAR QUALIFIED;37;AAR QUAL; ; ;CURRENT / CURRENT;1044/209;1-2;N;R
6 M;(NU) NUMBER OF CREWS AVAILABLE;46;CREW AVAIL; ; ;CURRENT / CURRENT;1044/210;1-2;N;R
