FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
* 1 M;(NU) QUANTITY OF CRYPTOGRAPHIC EQUIPMENT; ; ;CURRENT / CURRENT;1044/236;1-2;N
* 2 M;(NU) TYPE OF CRYPTOGRAPHIC EQUIPMENT; ; ;CURRENT / CURRENT;1135/018;1-16;AN
