FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) AREA POINT IDENTIFIER;1;PT ID; ; ;CURRENT / CURRENT;1246/016;1;A;L
2 M;(NU) GEOGRAPHIC PLACE NAME;7;PLACE NAME; ; ;CURRENT / CURRENT;1022/090;1-30;X;L
3 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS;38;COORDINATES; ; ;CURRENT / CURRENT;2024/001;15;AN;L
