FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) NUMBER, 1-99; ; ;CURRENT / CURRENT;1044/293;1-2;N
* 2 M;(NU) HEIGHT IN METRES, 1-99; ; ;CURRENT / CURRENT;1651/012;1-2;N
