FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) CRYPTOVARIABLE LOGICAL LABEL (CVLL); ; ;CURRENT / CURRENT;1012/212;1-3;N
2 M;(NU) KEY SHORT TITLE; ; ;CURRENT / CURRENT;1356/003;6-18;X
3 O;(NU) ENCRYPTION KEY SHORT TITLE; ; ;CURRENT / CURRENT;1356/004;6-18;X
* 4 O;(NU) SECURE DATA UNIT (SDU) LOCATION NUMBER; ; ;CURRENT / CURRENT;1012/153;1-2;N
