FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 O;(NU) DTG OF OPENING; ; ;CURRENT / CURRENT;2033/056;14;AN
2 O;(NU) DTG OF CLOSURE; ; ;CURRENT / CURRENT;2033/057;14;AN
