FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DTG OF EARLIEST ARRIVAL; ; ;CURRENT / CURRENT;2033/026;14;AN
2 M;(NU) DTG OF LATEST DEPARTURE; ; ;CURRENT / CURRENT;2033/043;14;AN
