FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) SUPPLYING SHIP NAME; ;A;CURRENT / CURRENT;1022/110;1-38;X
;(NU) UNIT;UNIT;B;CURRENT / CURRENT;1022/057;1-30;X
* 2 M;(NU) NATO STANDARD FUEL TYPE; ; ;CURRENT / CURRENT;1172/001;3-5;AN
* 3 M;(NU) FUEL QUANTITY; ; ;CURRENT / CURRENT;2105/001;4-16;ANS
