FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) AIRCRAFT NOMENCLATURE; ; ;CURRENT / CURRENT;1714/004;1-54;X
2 M;(NU) PRODUCTION COUNTRY; ; ;CURRENT / CURRENT;1026/021;2;A
3 M;(NU) AIRCRAFT MANUFACTURER; ; ;CURRENT / CURRENT;1022/297;1-54;X
4 M;(NU) FACTORY OF ORIGIN; ; ;CURRENT / CURRENT;1022/237;1-54;X
