FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
* 1 M;(NU) DIRECTION OF MOVEMENT FROM EVENT; ;A;CURRENT / CURRENT;1161/007;1-3;A
;(NU) DIRECTION OF MOVEMENT TO EVENT;TO;B;CURRENT / CURRENT;1161/008;1-3;A
* 2 M;(NU) MEANS OF TRAVEL; ; ;CURRENT / CURRENT;1269/004;2-7;A
