FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) NAVAL TASK DESIGNATOR; ;A;CURRENT / CURRENT;2143/002;3-15;ANS
;(NU) NON-DISCRETE INDICATOR, NA, OTHER, AS SIGNALED; ;B;CURRENT / CURRENT;1084/005;2-11;AB
2 M;(NU) AXIS, QUALIFIED; ; ;CURRENT / CURRENT;2159/011;4-6;ANS
3 O;(NU) INTERVAL/SPACING DISTANCE; ; ;CURRENT / CURRENT;2158/006;2-8;ANS
4 O;(NU) MARITIME DISTANCE; ; ;CURRENT / CURRENT;2158/001;2-8;ANS
