FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) INITIATION METHOD; ; ;CURRENT / CURRENT;1601/002;1;A
2 M;(NU) FIRING CIRCUIT; ; ;CURRENT / CURRENT;1601/003;1;A
