FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) STOCK NUMBER;1;STOCK NUMBER; ; ;CURRENT / CURRENT;1012/073;1-20;ANS;L
2 M;(NU) SHORT TITLE;22;TITLE; ; ;CURRENT / CURRENT;1022/087;3-12;ANS;L
3 M;(NU) DAYS OF SUPPLY;35;DOS; ; ;CURRENT / CURRENT;1055/002;1-4;N;R
4 C;(NU) UNIT OF LINEAR MEASUREMENT;40;UNIT OF MEAS; ;A ;CURRENT / CURRENT;1008/004;1-2;A;L
;(NU) UNIT OF VOLUME MEASUREMENT;null;UNIT OF MEAS; ;B ;CURRENT / CURRENT;1008/058;2-3;A;L
;(NU) UNIT OF WEIGHT MEASUREMENT;null;UNIT OF MEAS; ;C ;CURRENT / CURRENT;1008/037;2-3;A;L
;(NU) UNIT OF PACKING MEASUREMENT;null;UNIT OF MEAS; ;D ;CURRENT / CURRENT;1008/059;2-3;A;L
5 O;(NU) QUANTITY ON HAND;53;QUANTITY; ; ;CURRENT / CURRENT;1044/110;1-6;N;R
