FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DETAILED AIR STABILITY CATEGORY; ;A;CURRENT / CURRENT;1313/001;1;N
;(NU) SIMPLIFIED AIR STABILITY CATEGORY; ;B;CURRENT / CURRENT;1126/001;1;A
2 M;(NU) SURFACE AIR TEMPERATURE AND UNIT OF MEASUREMENT; ; ;CURRENT / CURRENT;2319/001;2-4;ANS
3 M;(NU) RELATIVE HUMIDITY RANGE; ; ;CURRENT / CURRENT;1315/001;1;N
4 M;(NU) SIGNIFICANT WEATHER PHENOMENA; ; ;CURRENT / CURRENT;1386/006;1;AN
5 M;(NU) CLOUD COVERAGE; ; ;CURRENT / CURRENT;1328/001;1;N
