FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) EFFECTIVE TIME INDICATOR; ;A;CURRENT / CURRENT;1220/012;11;A
;(NU) DAY-TIME AND MONTH ZULU; ;B;CURRENT / CURRENT;2330/001;10;AN
