FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) SPEED; ; ;CURRENT / CURRENT;2063/001;4-7;ANS
2 M;(NU) DIRECTION INDICATOR; ; ;CURRENT / CURRENT;1586/001;1;A
