FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) ROAD TYPE; ; ;CURRENT / CURRENT;1704/001;1;A
2 M;(NU) ROAD NUMBER; ; ;CURRENT / CURRENT;1012/278;1-5;X
