FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) SATELLITE SYSTEM NAME OR DESIGNATOR; ; ;CURRENT / CURRENT;1022/063;1-20;X
* 2 M;(NU) DAY-TIME OF START, VERIFIED; ; ;CURRENT / CURRENT;2013/008;8;AN
* 3 M;(NU) DAY-TIME OF STOP, VERIFIED; ; ;CURRENT / CURRENT;2013/009;8;AN
