FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) SURF LOCATION; ; ;CURRENT / CURRENT;1118/002;1-2;A
2 M;(NU) WAVE/BREAKER ANGLE; ; ;CURRENT / CURRENT;1043/021;1-2;N
3 M;(NU) SURF ZONE WIDTH (FEET, YARDS OR METRES); ; ;CURRENT / CURRENT;2451/003;2-7;ANS
4 M;(NU) NUMBER OF WAVES IN SURF ZONE; ; ;CURRENT / CURRENT;1044/063;1-2;N
5 M;(NU) SIGNIFICANT WAVE/BREAKER HEIGHT IN FEET OR METRES; ; ;CURRENT / CURRENT;2478/002;2-8;ANS
6 M;(NU) MAXIMUM WAVE/BREAKER HEIGHT IN FEET OR METRES; ; ;CURRENT / CURRENT;2478/003;2-8;ANS
7 M;(NU) WAVE PERIOD IN SECONDS AND HALF SECONDS; ; ;CURRENT / CURRENT;2104/001;3-5;NS
* 8 M;(NU) BREAKER TYPE; ; ;CURRENT / CURRENT;1776/001;5-6;A
* 9 M;(NU) PERCENTAGE OF OBSERVED BREAKERS; ; ;CURRENT / CURRENT;1064/047;1-3;N
