FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) NAVIGATION HAZARD; ; ;CURRENT / CURRENT;1611/003;3-10;AB
* 2 M;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;A;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;B;CURRENT / CURRENT;2024/001;15;AN
