FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DTG OF SETTING WATCH; ; ;CURRENT / CURRENT;2033/083;14;AN
2 O;(NU) AREA BROADCAST DESIGNATOR, TWO LETTER COUNTRY CODE; ; ;CURRENT / CURRENT;2653/001;5-6;AN
3 O;(NU) SHIP-SHORE COMMUNICATION IDENTIFIER; ; ;CURRENT / CURRENT;2028/001;5-7;ANS
4 O;(NU) NAVAL/AMPHIBIOUS COMMUNICATIONS NET LINE NUMBER; ; ;CURRENT / CURRENT;1012/018;3;N
5 O;(NU) LOCAL/HARBOUR COMMUNICATION IDENTIFIER; ; ;CURRENT / CURRENT;2031/001;6-7;ANS
6 O;(NU) BROADCAST CALL SIGN; ; ;CURRENT / CURRENT;1129/004;1-6;AN
7 O;(NU) MULTICHANNEL AREA BROADCAST DESIGNATOR; ; ;CURRENT / CURRENT;2359/001;6-7;AN
* 8 O;(NU) ELECTRONIC MAIL ADDRESS; ; ;CURRENT / CURRENT;1183/007;1-60;X
* 9 O;(NU) TELEPHONE NUMBER; ; ;CURRENT / CURRENT;1361/002;1-23;X
