FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) REQUESTING COMPONENT COMMAND;1;REQCMD; ; ;CURRENT / CURRENT;1037/004;1-15;X;L
2 M;(NU) REQUEST IDENTIFIER;17;REQNO; ; ;CURRENT / CURRENT;1012/144;1-11;X;L
3 M;(NU) REQUEST STATUS INDICATOR, ABBREVIATED;29;STS; ; ;CURRENT / CURRENT;1570/003;3;A;L
4 M;(NU) MISSION NUMBER;33;MSNNO; ; ;CURRENT / CURRENT;1012/069;1-8;X;L
5 M;(NU) COMPLYING COMPONENT COMMAND;42;COMCMD; ; ;CURRENT / CURRENT;1037/005;1-15;X;L
6 O;(NU) REVISED PRIORITY;58;RP; ; ;CURRENT / CURRENT;1076/009;1-2;AN;L
7 O;(NU) COMMENT, ABBREVIATED;61;CMNT; ; ;CURRENT / CURRENT;1357/025;1-8;X;L
