FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) SURFACED SPEED IN KNOTS;SURF; ;CURRENT / CURRENT;1061/024;1-2;N
2 M;(NU) SUBMERGED SPEED IN KNOTS;SUBM; ;CURRENT / CURRENT;1061/025;1-2;N
