FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) SAFETY ZONE REFERENCE IDENTIFIER; ; ;CURRENT / CURRENT;1246/031;1;A
2 M;(NU) SAFETY ZONE DISTANCE IN METERS; ; ;CURRENT / CURRENT;1657/004;1-3;N
