FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
* 1 M;(NU) CONSTRUCTION RESOURCE TYPE; ; ;CURRENT / CURRENT;1780/001;4-6;A
* 2 M;(NU) QUANTITY OF RESOURCE; ; ;CURRENT / CURRENT;1781/001;3-4;A
