FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
* 1 M;(NU) REFUGEES AND DISPLACED CIVILIANS; ; ;CURRENT / CURRENT;1286/004;4-7;A
* 2 O;(NU) NUMBER OF REFUGEES OR DISPLACED CIVILIANS; ; ;CURRENT / CURRENT;1044/266;1-6;N
