FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) OPERATIONAL SPEED, KNOTS, VERIFIED; ; ;CURRENT / CURRENT;2332/002;5-8;ANS
2 M;(NU) STATIONING SPEED, KNOTS, VERIFIED; ; ;CURRENT / CURRENT;2332/003;5-8;ANS
