FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) NUMBER OF DEPLOYMENTS ENDING IN NEXT 24 HOURS; ; ;CURRENT / CURRENT;1044/316;1-3;N
2 M;(NU) NUMBER OF DEPLOYMENTS ENDING IN NEXT 48 HOURS; ; ;CURRENT / CURRENT;1044/317;1-3;N
