FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) SHIP DRAFT, FEET OR METRES; ; ;CURRENT / CURRENT;2357/001;2-6;ANS
2 M;(NU) SHIP LENGTH, FEET OR METRES; ; ;CURRENT / CURRENT;2266/002;2-7;ANS
3 M;(NU) SHIP BEAM, FEET OR METRES; ; ;CURRENT / CURRENT;2352/001;2-6;ANS
4 M;(NU) SHIP CARGO WEIGHT CAPACITY; ; ;CURRENT / CURRENT;2069/001;4-8;AN
