FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) TEXT INDICATOR; ; ;CURRENT / CURRENT;1009/001;1-61;X
2 M;(NU) FREE TEXT; ; ;CURRENT / CURRENT;1006/001;1-99;X
