FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DELETED SET IDENTIFIER; ; ;CURRENT / CURRENT;1369/002;3-8;AN
* 2 O;(NU) IDENTIFYING INFORMATION; ; ;CURRENT / CURRENT;1370/002;1-35;X
