FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) LANE IDENTIFIER; ; ;CURRENT / CURRENT;1246/063;1-35;AN
2 M;(NU) DTG OF START; ; ;CURRENT / CURRENT;2033/029;14;AN
3 M;(NU) DTG OF STOP; ; ;CURRENT / CURRENT;2033/030;14;AN
