FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) ORIGINATOR'S CONTROL REFERENCE NUMBER; ; ;CURRENT / CURRENT;1012/072;1-6;X
2 M;(NU) REQUEST PRIORITY; ; ;CURRENT / CURRENT;1076/005;1;N
3 O;(NU) PRIORITY RANKING; ; ;CURRENT / CURRENT;1012/071;3;N
