FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DATA LINK REFERENCE POINT TYPE; ; ;CURRENT / CURRENT;1362/006;4-7;A
2 M;(NU) POINT IDENTIFIER; ; ;CURRENT / CURRENT;1012/156;2-17;ANBS
3 M;(NU) REFERENCE POINT NAME, ABBREVIATED;REF;A;CURRENT / CURRENT;1022/226;2-12;AB
;(NU) BEARING (TRUE) AND DISTANCE (NM) FROM REFERENCE POINT;BDREF;B;CURRENT / CURRENT;2495/001;11-27;ANBS
;(NU) PLACE NAME;PLACE;C;CURRENT / CURRENT;1022/170;1-20;X
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE;GPU;D;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;GPLLM;E;CURRENT / CURRENT;2023/001;11;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE;GPGM;F;CURRENT / CURRENT;2017/001;8;AN
4 O;(NU) EFFECTIVE DTG; ; ;CURRENT / CURRENT;2033/059;14;AN
