FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) PORT NAME; ; ;CURRENT / CURRENT;1022/074;1-20;X
2 M;(NU) ESTIMATED DTG OF ARRIVAL; ; ;CURRENT / CURRENT;2033/031;14;AN
3 M;(NU) ESTIMATED DTG OFFLOAD COMPLETE; ; ;CURRENT / CURRENT;2033/032;14;AN
