FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) LOWER LENGTH LIMIT IN METRES, 10-9999; ;A;CURRENT / CURRENT;1657/011;2-4;N
;(NU) LOWER RADIUS LIMIT IN METRES;LRAD;B;CURRENT / CURRENT;1580/004;2-4;N
2 M;(NU) UPPER LENGTH LIMIT IN METRES, 10-9999; ;A;CURRENT / CURRENT;1657/010;2-4;N
;(NU) UPPER RADIUS LIMIT IN METRES;URAD;B;CURRENT / CURRENT;1580/003;2-4;N
3 C;(NU) LOWER WIDTH LIMIT IN METRES, 10-9999; ; ;CURRENT / CURRENT;1658/011;2-4;N
4 C;(NU) UPPER WIDTH LIMIT IN METRES, 10-9999; ; ;CURRENT / CURRENT;1658/010;2-4;N
