FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
* 1 M;(NU) PORTION OF ORDNANCE; ; ;CURRENT / CURRENT;1203/003;4;A
* 2 M;(NU) THICKNESS OF CASING; ; ;CURRENT / CURRENT;1865/001;1-5;NS
* 3 M;(NU) UNIT OF LINEAR MEASUREMENT, MILLIMETRES; ; ;CURRENT / CURRENT;1008/100;2;A
