FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) LAST BROADCAST NUMBER RECEIVED; ; ;CURRENT / CURRENT;2308/002;8-9;ANS
2 M;(NU) FIRST BROADCAST NUMBER RECEIVED; ; ;CURRENT / CURRENT;2308/003;8-9;ANS
