FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DIRECTION OF RADIOACTIVE CLOUD IN DEGREES; ;A;CURRENT / CURRENT;2321/003;6;AN
;(NU) DIRECTION OF RADIOACTIVE CLOUD IN MILS; ;B;CURRENT / CURRENT;2322/003;7;AN
