FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) SEARCH / ATTACK UNIT OR SURFACE ACTION GROUP DESIGNATOR; ; ;CURRENT / CURRENT;2376/001;8-12;AS
2 M;(NU) SEARCH/ATTACK UNIT OR SURFACE ACTION GROUP COMMANDER; ; ;CURRENT / CURRENT;1022/201;1-30;X
* 3 M;(NU) SUPPORTING UNIT NAME; ; ;CURRENT / CURRENT;1022/196;1-38;X
