FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) EFFECTIVE DAY-TIME AND MONTH; ; ;CURRENT / CURRENT;2030/015;10;AN
* 2 M;(NU) CANCELLED IFF MODE; ; ;CURRENT / CURRENT;1302/004;1;N
