FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) PRIMARY FREQUENCY; ; ;CURRENT / CURRENT;2064/003;3-14;ANS
2 M;(NU) ALTERNATE FREQUENCY; ; ;CURRENT / CURRENT;2064/013;3-14;ANS
