FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) NAVIGATION BUOY OR MARKER CODE; ; ;CURRENT / CURRENT;1200/003;8-9;AB
2 M;(NU) NAVIGATION AID DESCRIPTION; ; ;CURRENT / CURRENT;1363/015;1-30;X
3 M;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;A;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;B;CURRENT / CURRENT;2024/001;15;AN
