FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) WATER DEPTH IN METRES; ; ;CURRENT / CURRENT;1247/003;1-3;N
2 M;(NU) TIDAL DIFFERENCE IN METRES; ; ;CURRENT / CURRENT;1014/002;1-3;N
