FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) CROSSING TYPE; ; ;CURRENT / CURRENT;1706/002;2;A
2 M;(NU) CROSSING POTENTIAL; ; ;CURRENT / CURRENT;1662/007;2;A
