FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) NUMBER, 1-9; ; ;CURRENT / CURRENT;1044/318;1;N
2 M;(NU) LANE WIDTH IN METRES; ; ;CURRENT / CURRENT;1658/016;1-4;NS
3 M;(NU) ROAD TYPE; ; ;CURRENT / CURRENT;1704/001;1;A
4 M;(NU) CONSTRUCTION MATERIAL; ; ;CURRENT / CURRENT;1592/005;2;A
