FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) TARGET NUMBER;TNO;A;CURRENT / CURRENT;1012/096;1-10;X
;(NU) TARGET NICKNAME; ;B;CURRENT / CURRENT;1022/064;3-10;AN
