FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DESCRIPTION OF ROTA EVENT; ; ;CURRENT / CURRENT;1724/004;4-6;A
2 M;(NU) STATUS OF ROTA EVENT; ; ;CURRENT / CURRENT;1724/003;4-5;A
