FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) MILITARY LOAD CLASSIFICATION (TRACKED); ; ;CURRENT / CURRENT;1253/006;1-3;N
2 M;(NU) MILITARY LOAD CLASSIFICATION (WHEELED); ; ;CURRENT / CURRENT;1253/007;1-3;N
