FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) REPRESENTATIVE DOWNWIND DIRECTION IN DEGREES; ;A;CURRENT / CURRENT;2321/004;6;AN
;(NU) REPRESENTATIVE DOWNWIND DIRECTION IN MILS; ;B;CURRENT / CURRENT;2322/004;7;AN
2 M;(NU) REPRESENTATIVE DOWNWIND SPEED AND UNIT OF MEASUREMENT; ; ;CURRENT / CURRENT;2455/001;4-6;AN
