FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) ANTENNA TYPE; ; ;CURRENT / CURRENT;1434/010;1-68;X
2 M;(NU) DIAMETER IN METRES, CENTIMETRES, OR MILLIMETRES;DIA;A;CURRENT / CURRENT;2115/005;3-8;ANS
;(NU) LENGTH, FEET OR METRES, DECIMAL PERMITTED;LENGTH;B;CURRENT / CURRENT;2266/001;2-7;ANS
