FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) DATA ENTRY;1;DE; ; ;CURRENT / CURRENT;1348/001;2;N;R
2 C;(NU) PRIMARY RADIO FREQUENCY;4;PRI-RF; ; ;CURRENT / CURRENT;2383/003;3-11;ANS;R
3 C;(NU) SECONDARY RADIO FREQUENCY;16;SEC-RF; ; ;CURRENT / CURRENT;2383/004;3-11;ANS;R
4 O;(NU) LOWER RADIO FREQUENCY LIMIT;28;LOW-RF-LIM; ; ;CURRENT / CURRENT;2383/005;3-11;ANS;R
5 O;(NU) UPPER RADIO FREQUENCY LIMIT;40;UPP-RF-LIM; ; ;CURRENT / CURRENT;2383/006;3-11;ANS;R
6 O;(NU) PULSE REPETITION FREQUENCY;52;PULSREP; ;A;CURRENT / CURRENT;2177/001;4-14;ANS;L
;(NU) PULSE REPETITION INTERVAL IN MICROSECONDS;null;PULSREP; ;B;CURRENT / CURRENT;2176/001;4-14;ANS;L
