FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) POINT NUMBER;1;PN; ; ;CURRENT / CURRENT;1012/257;1-2;N;R
2 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, THOUSANDTHS OF MINUTE;4;ROUTEPT; ;A;CURRENT / CURRENT;2496/001;19;ANS;L
;(NU) GEOGRAPHIC POSITION, LAT/LONG, CENTIMINUTES;null;ROUTEPT; ;B;CURRENT / CURRENT;2338/001;17;ANS;L
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;null;ROUTEPT; ;C;CURRENT / CURRENT;2023/001;11;AN;L
;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE;null;ROUTEPT;M;D;CURRENT / CURRENT;2017/001;8;AN;L
;(NU) POSITION, TRUE BEARING AND RANGE IN NM;null;ROUTEPT;TB;E;CURRENT / CURRENT;2281/001;7-28;X;L
;(NU) POSITION OR POINT NAME;null;ROUTEPT;N;F;CURRENT / CURRENT;1022/018;1-20;X;L
;(NU) ICAO BASE CODE;null;ROUTEPT; ;G;CURRENT / CURRENT;1125/002;4;AN;L
;(NU) GEOGRAPHIC POSITION, UTM ABBREVIATED 10-METRE;null;ROUTEPT; ;H;CURRENT / CURRENT;2128/001;10;AN;L
;(NU) GEOGRAPHIC POSITION, UTM ABBREVIATED 100-METRE;null;ROUTEPT; ;I;CURRENT / CURRENT;2126/001;8;AN;L
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED;null;ROUTEPT; ;J;CURRENT / CURRENT;2044/001;18;ANS;L
3 M;(NU) ROUTE POINT TYPE;36;TYP; ; ;CURRENT / CURRENT;1284/013;2-3;A;L
4 O;(NU) RELATIVE AIRCRAFT ARRIVAL TIME;40;ATIME; ;A;CURRENT / CURRENT;2482/003;6;ANS;L
;(NU) DAY-TIME OF ARRIVAL;null;ATIME; ;B;CURRENT / CURRENT;2000/002;7;AN;L
5 C;(NU) SPEED OF MOVEMENT IN MPH, KPS, KPH OR MPS;48;TAS; ; ;CURRENT / CURRENT;2481/001;4-8;ANS;R
6 O;(NU) ALTITUDE IN HUNDREDS OF FEET, 0-999;57;ALT; ; ;CURRENT / CURRENT;1255/014;1-3;N;R
