FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) NAME OF LEADER; ; ;CURRENT / CURRENT;1022/014;1-30;X
2 M;(NU) MILITARY RANK, NATO; ; ;CURRENT / CURRENT;1483/004;3-5;ANS
