FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) RANGE LIMITATION INDICATOR; ; ;CURRENT / CURRENT;1117/002;1;N
* 2 M;(NU) MAXIMUM RANGE, TENS OF METRES; ; ;CURRENT / CURRENT;1563/002;1-4;N
