FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
* 1 M;(NU) SEQUENCE POINT NUMBER (1-30); ; ;CURRENT / CURRENT;1012/267;1-2;N
* 2 M;(NU) UTM 1-METRE HIGHER ORDER EASTING; ; ;CURRENT / CURRENT;1058/002;6;N
* 3 M;(NU) UTM 1-METRE HIGHER ORDER NORTHING; ; ;CURRENT / CURRENT;1060/002;7-8;N
