FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) DATA ENTRY;1;DE; ; ;CURRENT / CURRENT;1348/001;2;N;R
2 M;(NU) EMITTER SPOT NUMBER;4;SPOT; ; ;CURRENT / CURRENT;2384/001;5;N;R
3 O;(NU) TRANSMIT RADIO FREQUENCY;10;RF-TRANSMIT; ; ;CURRENT / CURRENT;2383/007;3-11;ANS;R
4 O;(NU) RADIO FREQUENCY BANDWIDTH;22;RF-BANDWIDTH; ; ;CURRENT / CURRENT;2383/008;3-11;ANS;R
5 O;(NU) SIGNAL TYPE;35;TYPE; ; ;CURRENT / CURRENT;1181/007;1;A;R
6 O;(NU) RADIO/RADAR FUNCTION;40;FCTN; ; ;CURRENT / CURRENT;1471/001;2;A;R
