FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) VOLLEYS FIRST PROJECTILE/FUZE; ; ;CURRENT / CURRENT;1044/282;1-2;N
2 O;(NU) VOLLEYS SECOND PROJECTILE/FUZE; ; ;CURRENT / CURRENT;1044/281;1-2;N
