FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) TYPE OF ELECTRO-OPTICAL EQUIPMENT USED; ; ;CURRENT / CURRENT;1135/027;5-7;A
2 M;(NU) NUMBER OF TARGETS TASKED; ; ;CURRENT / CURRENT;1044/343;1-2;N
3 M;(NU) NUMBER OF TARGETS IMAGED; ; ;CURRENT / CURRENT;1044/344;1-2;N
4 M;(NU) NUMBER OF TARGETS OF OPPORTUNITY; ; ;CURRENT / CURRENT;1044/345;1-2;N
5 M;(NU) NUMBER OF TARGETS OF OPPORTUNITY IMAGED; ; ;CURRENT / CURRENT;1044/346;1-2;N
6 O;(NU) NUMBER OF TARGETS RETASKED IN-FLIGHT; ; ;CURRENT / CURRENT;1044/347;1-2;N
7 O;(NU) NUMBER OF RETASKED IN-FLIGHT TARGETS IMAGED; ; ;CURRENT / CURRENT;1044/348;1-2;N
8 O;(NU) DIGITAL PHOTO TRANSMISSION ATTEMPTED; ; ;CURRENT / CURRENT;1359/024;1;A
9 C;(NU) DIGITAL PHOTO TRANSMISSION SUCCESSFUL; ; ;CURRENT / CURRENT;1359/025;1;A
